Date,Revenue,Salary Payments,Rent,Debt,Miscellaneous Costs,Profit
2024-01-31,653044,646225,25000,10075,6571,-34827
2024-02-29,779557,562970,25000,16286,6150,169151
2024-03-31,726877,611266,25000,15910,6478,68223
2024-04-30,723729,647260,25000,16359,5339,29771
2024-05-31,841611,588701,25000,20472,5843,201595
2024-06-30,568163,612254,25000,21956,5635,-96682
2024-07-31,766045,624065,25000,14508,5699,96773
2024-08-31,926594,547277,25000,13218,7360,333739
2024-09-30,827088,632421,25000,13900,5528,150239
2024-10-31,596604,605025,25000,13236,6195,-52852
2024-11-30,822894,539390,25000,12996,7212,238296
2024-12-31,806522,618174,25000,11765,5166,146417
